"metric","variable","9M_edf","9M_p_value","9M_sig_level","14M_edf","14M_p_value","14M_sig_level","37M_edf","37M_p_value","37M_sig_level"
"dolphin_burst_pulse","rBA",1.64396160660074e-05,0.984881846363463,"",7.0197165828396e-06,0.830543253806447,"",2.4991643032245e-05,0.801175227315446,""
"dolphin_echolocation","ACI",3.46967671249304e-05,0.860421360433955,"",0.88546999849291,0.0023250773695247,"**",0.796454911814312,0.0223319969936339,"*"
"dolphin_echolocation","ACTspCount",8.40033371251711e-05,0.0854281308360159,".",1.14577052824852e-05,0.374035284057035,"",0.000423605621822992,0.298027466164402,""
"dolphin_echolocation","ACTspFract",0.894302020602198,0.000459138916506285,"***",1.37297955208142e-05,0.232314326637039,"",0.988118413586165,0,"***"
"dolphin_echolocation","ACTspMean",4.55042330683424e-05,0.651985766238587,"",3.34470125581244e-05,0.76660374105156,"",0.351934397309966,0.179396744368614,""
"dolphin_echolocation","ACTtCount",0.814154286230883,0.0168075930764984,"*",1.70633998794769e-05,0.850269955378566,"",9.68713359834875e-05,0.888301407756183,""
"dolphin_echolocation","ACTtFraction",0.000148652736141665,0.0281997532810354,"*",2.50044000499603e-05,0.88129743450192,"",8.09500715799169e-05,0.866265293777671,""
"dolphin_echolocation","ACTtMean",3.92521550977674e-05,0.694628280794446,"",1.91180760042055e-05,0.964885204395205,"",0.801273883638819,0.0180758861177512,"*"
"dolphin_echolocation","ADI",2.8215014687592e-05,0.600709267187292,"",2.30936212282031e-05,0.803454118280135,"",0.799487623536907,0.0179417209545045,"*"
"dolphin_echolocation","AEI",0.96595341974167,0,"***",3.29185882686607e-05,0.703151136661133,"",0.895327332148304,0.000580319003087415,"***"
"dolphin_echolocation","AGI",2.24516082995345e-05,0.755420085286877,"",0.626096902861434,0.091427476746843,".",0.586737660270182,0.100035750973424,""
"dolphin_echolocation","AnthroEnergy",4.26651555852274e-05,0.87900923685809,"",2.1686131359396e-05,0.873210582896295,"",0.000160054324522241,0.594976361261343,""
"dolphin_echolocation","BGNf",0.614758776689245,0.100476408016447,"",2.03719363564783e-05,0.81596391729778,"",0.903664288289912,0.000619568025745143,"***"
"dolphin_echolocation","BGNt",3.89911781850042e-05,0.95086166912381,"",0.922180213042855,0.000230195543296841,"***",0.949293944451376,1.41222887006798e-06,"***"
"dolphin_echolocation","BI",4.77656224665101e-05,0.672885247286954,"",5.93104433882585e-05,0.452904148058131,"",0.820418997312001,0.0166090169694872,"*"
"dolphin_echolocation","BioEnergy",3.01675459343654e-05,0.890422935845423,"",2.13509448443968e-05,0.818862568625152,"",7.38707416289138e-05,0.9692456599955,""
"dolphin_echolocation","EAS",3.70716436363032e-05,0.742705404409282,"",0.888090624117017,0.00221673078839313,"**",8.64630645695343e-05,0.888888991587613,""
"dolphin_echolocation","ECU",0.33459611145428,0.218493887602251,"",3.54496049115573e-05,0.643934126661451,"",9.55606699681133e-05,0.554166967540991,""
"dolphin_echolocation","ECV",7.58219197096328e-05,0.410143356678988,"",4.09615874425836e-05,0.451295652963552,"",0.000150291804296405,0.630836290918719,""
"dolphin_echolocation","ENRf",4.38600442833242e-05,0.768003193783902,"",2.7081521947613e-05,0.644107138680683,"",8.86235770221169e-05,0.900544287897318,""
"dolphin_echolocation","EPS",0.439842190888479,0.161330698356863,"",0.91658959809155,0.000364686734373953,"***",0.000217430322254129,0.463263875266406,""
