"metric","station","index","low_value","high_value","low_pred","high_pred","effect_size","effect_type"
"fish_presence","14M","Hf",0.659565872427527,0.839883738801811,0.810194668022428,0.810178223964961,-1.64440574663693e-05,"probability_change"
"fish_presence","14M","Ht",0.499574984149117,0.758847456523357,0.810183329121409,0.810184028215309,6.99093899991787e-07,"probability_change"
"fish_presence","14M","KURTf",4.39074994569008,28.485300126405,0.810183749924656,0.810184621131159,8.71206502939259e-07,"probability_change"
"fish_presence","14M","KURTt",147.973461002493,11284.6906474654,0.812776682979636,0.805817687241479,-0.00695899573815706,"probability_change"
"fish_presence","14M","LEQf",206.03577904513,220.370792120397,0.776321167058792,0.790311445698769,0.0139902786399773,"probability_change"
"fish_presence","14M","LEQt",56.8510414633866,71.98212382007,0.810186256078127,0.810183033858471,-3.22221965620706e-06,"probability_change"
"fish_presence","14M","LFC",0.197757707547251,0.31739873825711,0.702247909692055,0.873510422696509,0.171262513004455,"probability_change"
"fish_presence","14M","MEANf",9.8432684337004e-05,0.00043056775,0.942667869546074,0.766000255257061,-0.176667614289013,"probability_change"
"fish_presence","14M","MEANt",-3.03066820533672e-19,2.9375499744097e-19,0.80007811914132,0.820270764245456,0.0201926451041354,"probability_change"
"fish_presence","14M","MED",0.00135771095,0.0209144321415744,0.810183716598517,0.810184359754014,6.43155497415115e-07,"probability_change"
"fish_presence","14M","MFC",0.243315952853676,0.344214970043723,0.810126518666901,0.810215940136627,8.94214697262363e-05,"probability_change"
"fish_presence","14M","NBPEAKS",3,7,0.810184367343255,0.810183554747196,-8.12596058441528e-07,"probability_change"
"fish_presence","14M","NDSI",0.0106490279377391,0.964712377611494,0.894868149676229,0.795378795398886,-0.0994893542773434,"probability_change"
"fish_presence","14M","RAOQ",0.309744452109252,0.485338910277074,0.856278755905454,0.76885843231018,-0.0874203235952736,"probability_change"
"fish_presence","14M","ROU",0.515070951468931,10.17229208517,0.59084692974734,0.899958010352454,0.309111080605114,"probability_change"
"fish_presence","14M","SKEWf",1.44602672074274,4.09883137793714,0.810182518087373,0.810186990979604,4.47289223115543e-06,"probability_change"
"fish_presence","14M","SKEWt",0.587892401578082,12.411144398154,0.810183245917355,0.810185064871144,1.81895378914554e-06,"probability_change"
"fish_presence","14M","SNRf",10.806923650454,22.4043630288743,0.908513528431504,0.799030925869284,-0.10948260256222,"probability_change"
"fish_presence","14M","SNRt",10.5016140516817,24.834155821361,0.758039812535186,0.740055178287061,-0.0179846342481246,"probability_change"
"fish_presence","14M","TFSD",0.355875703476531,0.377866924917557,0.837900391270182,0.779227688416564,-0.0586727028536186,"probability_change"
"fish_presence","14M","VARf",7.23823422573804e-09,3.79680561576724e-07,0.87966503285256,0.740605525617218,-0.139059507235342,"probability_change"
"fish_presence","14M","VARt",6.29411119199974e-06,0.000254874506397955,0.810183789824713,0.810184273083735,4.83259021466509e-07,"probability_change"
"fish_presence","14M","ZCR",2677.02662366215,17848.2977783513,0.810183492542881,0.810184076376239,5.83833357659103e-07,"probability_change"
"fish_presence","14M","aROI",1.40853997758934,3.92858723540483,0.684846463658474,0.905982459090625,0.221135995432151,"probability_change"
"fish_presence","14M","nROI",124.090006618134,489.171973263769,0.930488566090172,0.655676124670126,-0.274812441420047,"probability_change"
"fish_presence","14M","rBA",0.505324513870589,0.982356188880747,0.880001517153839,0.805793136676823,-0.0742083804770166,"probability_change"
